objloc,rss,time,beacon
150000,-77,1451672455880,9
150000,-81,1451672455900,20
150000,-100,1451672455904,3
150000,-92,1451672455914,5
150000,-95,1451672455954,11
150000,-76,1451672455988,9
150000,-97,1451672455993,3
150000,-77,1451672455996,20
150000,-87,1451672456023,5
150000,-96,1451672456102,3
150000,-76,1451672456107,20
150000,-87,1451672456133,5
150000,-98,1451672456169,11
150000,-77,1451672456195,9
150000,-70,1451672456217,20
150000,-91,1451672456221,3
150000,-98,1451672456224,8
150000,-89,1451672456235,5
150000,-85,1451672456265,19
150000,-76,1451672456297,9
150000,-74,1451672456317,20
150000,-99,1451672456323,8
150000,-87,1451672456328,5
150000,-82,1451672456369,19
150000,-94,1451672456399,11
150000,-76,1451672456408,9
150000,-74,1451672456421,20
150000,-83,1451672456425,5
150000,-79,1451672456474,19
150000,-98,1451672456499,11
150000,-99,1451672456503,1
150000,-77,1451672456518,9
150000,-98,1451672456523,3
150000,-72,1451672456554,20
150000,-91,1451672456559,5
150000,-84,1451672456583,19
150000,-98,1451672456597,11
150000,-78,1451672456619,9
150000,-86,1451672456648,5
150000,-86,1451672456684,19
150000,-76,1451672456762,9
150000,-95,1451672456768,8
150000,-86,1451672456770,5
150000,-85,1451672456792,19
150000,-93,1451672456809,11
150000,-77,1451672456831,9
150000,-72,1451672456834,20
150000,-92,1451672456844,5
150000,-84,1451672456897,19
150000,-71,1451672456938,20
150000,-76,1451672456942,9
150000,-84,1451672456966,5
150000,-90,1451672456998,19
150000,-99,1451672457029,11
150000,-70,1451672457048,20
150000,-99,1451672457053,3
150000,-98,1451672457061,8
150000,-85,1451672457083,5
150000,-87,1451672457116,19
150000,-76,1451672457151,9
150000,-89,1451672457213,19
150000,-97,1451672457228,11
150000,-70,1451672457253,20
150000,-73,1451672457278,9
150000,-85,1451672457281,5
150000,-97,1451672457342,11
150000,-93,1451672457427,19
150000,-67,1451672457463,20
150000,-87,1451672457497,5
150000,-95,1451672457561,11
150000,-72,1451672457573,20
150000,-83,1451672457576,5
150000,-76,1451672457593,9
150000,-72,1451672457669,20
150000,-84,1451672457694,5
150000,-74,1451672457699,9
150000,-72,1451672457771,20
150000,-70,1451672457808,9
150000,-92,1451672457850,19
150000,-96,1451672457875,11
150000,-71,1451672457893,20
150000,-97,1451672457898,8
150000,-85,1451672457901,5
150000,-74,1451672457919,9
150000,-87,1451672457948,19
150000,-87,1451672458049,19
150000,-73,1451672458089,20
150000,-86,1451672458107,5
150000,-100,1451672458111,3
150000,-84,1451672458157,19
150000,-96,1451672458181,11
150000,-73,1451672458206,20
150000,-75,1451672458211,9
150000,-84,1451672458224,5
150000,-87,1451672458260,19
150000,-71,1451672458292,20
150000,-75,1451672458322,9
150000,-85,1451672458329,5
150000,-85,1451672458375,19
150000,-98,1451672458407,11
150000,-70,1451672458411,20
150000,-75,1451672458414,9
150000,-84,1451672458428,5
150000,-87,1451672458473,19
150000,-96,1451672458491,11
150000,-70,1451672458504,20
150000,-74,1451672458522,9
150000,-84,1451672458525,5
150000,-87,1451672458579,19
150000,-96,1451672458603,11
150000,-69,1451672458607,20
150000,-75,1451672458621,9
150000,-83,1451672458637,5
150000,-87,1451672458690,19
150000,-99,1451672458721,11
150000,-69,1451672458731,20
150000,-75,1451672458734,9
150000,-84,1451672458748,5
150000,-87,1451672458783,19
150000,-96,1451672458802,11
150000,-69,1451672458822,20
150000,-75,1451672458830,9
150000,-87,1451672458890,19
150000,-96,1451672458923,11
150000,-70,1451672458928,20
150000,-75,1451672458961,9
150000,-85,1451672458967,5
150000,-86,1451672458989,19
150000,-69,1451672459030,20
150000,-75,1451672459056,9
150000,-84,1451672459063,5
150000,-89,1451672459089,19
150000,-97,1451672459123,11
150000,-69,1451672459129,20
150000,-75,1451672459153,9
150000,-84,1451672459172,5
150000,-95,1451672459216,11
