objloc,rss,time,beacon
106000,-87,1451981175953,5
106000,-90,1451981175978,20
106000,-86,1451981176049,9
106000,-79,1451981176079,5
106000,-95,1451981176111,3
106000,-80,1451981176154,9
106000,-84,1451981176181,5
106000,-82,1451981176189,20
106000,-97,1451981176203,11
106000,-99,1451981176232,4
106000,-81,1451981176265,9
106000,-82,1451981176281,5
106000,-81,1451981176286,20
106000,-94,1451981176301,11
106000,-96,1451981176336,3
106000,-99,1451981176340,4
106000,-76,1451981176397,9
106000,-83,1451981176401,5
106000,-80,1451981176405,20
106000,-90,1451981176408,19
106000,-100,1451981176432,11
106000,-97,1451981176437,3
106000,-74,1451981176481,9
106000,-82,1451981176483,5
106000,-81,1451981176497,20
106000,-96,1451981176514,19
106000,-76,1451981176580,9
106000,-79,1451981176597,5
106000,-83,1451981176600,20
106000,-93,1451981176615,19
106000,-96,1451981176630,11
106000,-79,1451981176689,9
106000,-79,1451981176715,5
106000,-79,1451981176717,20
106000,-98,1451981176733,11
106000,-99,1451981176739,3
106000,-98,1451981176742,4
106000,-77,1451981176791,9
106000,-78,1451981176815,5
106000,-77,1451981176819,20
106000,-99,1451981176840,4
106000,-79,1451981176901,9
106000,-80,1451981176907,5
106000,-77,1451981176936,20
106000,-79,1451981177000,9
106000,-78,1451981177017,5
106000,-76,1451981177021,20
106000,-97,1451981177038,19
106000,-78,1451981177107,5
106000,-79,1451981177112,9
106000,-77,1451981177135,20
106000,-97,1451981177139,19
106000,-79,1451981177209,5
106000,-77,1451981177234,20
106000,-95,1451981177251,19
106000,-78,1451981177319,9
106000,-78,1451981177322,5
106000,-95,1451981177345,19
106000,-78,1451981177415,9
106000,-80,1451981177418,5
106000,-77,1451981177438,20
106000,-98,1451981177468,11
106000,-97,1451981177472,19
106000,-77,1451981177537,20
106000,-98,1451981177554,11
106000,-96,1451981177558,19
106000,-78,1451981177643,20
106000,-96,1451981177672,19
106000,-81,1451981177731,5
106000,-77,1451981177753,9
106000,-78,1451981177758,20
106000,-97,1451981177771,11
106000,-96,1451981177775,19
106000,-80,1451981177840,5
106000,-77,1451981177854,9
106000,-78,1451981177858,20
106000,-99,1451981177871,11
106000,-95,1451981177875,19
106000,-80,1451981177944,5
106000,-77,1451981177947,9
106000,-76,1451981177971,20
106000,-98,1451981177975,11
106000,-93,1451981177978,19
106000,-94,1451981177991,3
106000,-82,1451981178044,5
106000,-78,1451981178071,20
106000,-76,1451981178075,9
106000,-80,1451981178162,5
106000,-80,1451981178165,20
106000,-96,1451981178188,11
106000,-97,1451981178207,3
106000,-99,1451981178210,4
106000,-78,1451981178252,5
106000,-79,1451981178275,9
106000,-82,1451981178282,20
106000,-94,1451981178305,11
106000,-97,1451981178308,3
106000,-99,1451981178312,4
106000,-79,1451981178362,5
106000,-82,1451981178365,9
106000,-84,1451981178388,20
106000,-79,1451981178462,5
106000,-83,1451981178489,9
106000,-83,1451981178492,20
106000,-100,1451981178508,19
106000,-88,1451981178526,3
106000,-83,1451981178570,5
106000,-88,1451981178573,9
106000,-89,1451981178589,20
106000,-94,1451981178606,11
106000,-102,1451981178625,19
106000,-90,1451981178630,3
106000,-86,1451981178672,5
106000,-94,1451981178694,9
106000,-90,1451981178697,20
106000,-93,1451981178727,11
106000,-89,1451981178731,3
106000,-94,1451981178806,11
106000,-89,1451981178832,3
106000,-83,1451981178887,5
106000,-85,1451981178898,9
106000,-94,1451981178929,11
106000,-100,1451981178942,19
106000,-91,1451981178974,3
106000,-84,1451981178992,5
106000,-82,1451981179010,20
106000,-82,1451981179013,9
