objloc,rss,time,beacon
058000,-78,1590519756714,3
058000,-95,1590519756718,4
058000,-91,1590519756737,25
058000,-78,1590519756740,5
058000,-86,1590519756797,11
058000,-88,1590519756832,25
058000,-96,1590519756856,9
058000,-73,1590519756861,5
058000,-76,1590519756920,3
058000,-87,1590519756941,25
058000,-76,1590519756964,5
058000,-94,1590519757012,19
058000,-76,1590519757040,3
058000,-94,1590519757043,4
058000,-90,1590519757066,25
058000,-84,1590519757070,9
058000,-75,1590519757073,5
058000,-80,1590519757125,3
058000,-91,1590519757150,25
058000,-84,1590519757174,9
058000,-75,1590519757183,5
058000,-95,1590519757199,20
058000,-84,1590519757226,11
058000,-93,1590519757231,19
058000,-76,1590519757234,3
058000,-96,1590519757257,4
058000,-75,1590519757276,5
058000,-73,1590519757337,3
058000,-96,1590519757361,4
058000,-90,1590519757366,25
058000,-87,1590519757371,9
058000,-74,1590519757391,5
058000,-97,1590519757425,19
058000,-98,1590519757445,6
058000,-81,1590519757450,3
058000,-90,1590519757475,25
058000,-84,1590519757478,9
058000,-74,1590519757492,5
058000,-94,1590519757515,20
058000,-88,1590519757541,11
058000,-96,1590519757545,19
058000,-77,1590519757548,3
058000,-90,1590519757567,25
058000,-83,1590519757594,9
058000,-73,1590519757600,5
058000,-94,1590519757627,20
058000,-82,1590519757632,11
058000,-96,1590519757646,19
058000,-76,1590519757652,3
058000,-96,1590519757677,6
058000,-88,1590519757681,25
058000,-87,1590519757684,9
058000,-72,1590519757700,5
058000,-92,1590519757725,20
058000,-83,1590519757743,11
058000,-78,1590519757762,3
058000,-97,1590519757766,4
058000,-85,1590519757793,25
058000,-83,1590519757796,9
058000,-72,1590519757810,5
058000,-94,1590519757830,20
058000,-83,1590519757850,11
058000,-96,1590519757876,19
058000,-76,1590519757880,3
058000,-97,1590519757883,6
058000,-73,1590519757909,5
058000,-91,1590519757927,20
058000,-89,1590519757944,11
058000,-94,1590519757960,19
058000,-77,1590519757977,3
058000,-92,1590519757995,25
058000,-83,1590519758002,9
058000,-74,1590519758028,5
058000,-90,1590519758032,20
058000,-83,1590519758050,11
058000,-75,1590519758077,3
058000,-90,1590519758096,25
058000,-83,1590519758111,9
058000,-75,1590519758117,5
058000,-91,1590519758134,20
058000,-81,1590519758161,11
058000,-96,1590519758180,6
058000,-88,1590519758196,25
058000,-82,1590519758214,9
058000,-74,1590519758241,5
058000,-92,1590519758243,20
058000,-91,1590519758276,11
058000,-80,1590519758280,3
058000,-75,1590519758320,5
058000,-82,1590519758323,9
058000,-75,1590519758379,3
058000,-90,1590519758395,4
058000,-83,1590519758422,9
058000,-94,1590519758496,11
058000,-75,1590519758499,3
058000,-89,1590519758555,20
058000,-88,1590519758585,11
058000,-77,1590519758615,3
058000,-84,1590519758619,25
058000,-73,1590519758636,5
058000,-82,1590519758640,9
058000,-95,1590519758681,6
058000,-77,1590519758698,3
058000,-72,1590519758742,5
058000,-81,1590519758795,11
058000,-76,1590519758798,3
058000,-74,1590519758844,5
058000,-83,1590519758863,9
058000,-95,1590519758880,20
058000,-87,1590519758900,11
058000,-77,1590519758904,3
058000,-72,1590519758950,5
058000,-83,1590519758965,9
058000,-90,1590519758981,20
058000,-90,1590519758998,11
058000,-74,1590519759018,3
058000,-73,1590519759050,5
058000,-82,1590519759065,9
058000,-89,1590519759084,20
058000,-84,1590519759105,11
058000,-76,1590519759111,3
058000,-74,1590519759147,5
058000,-87,1590519759151,25
058000,-83,1590519759165,9
058000,-91,1590519759185,20
058000,-84,1590519759210,11
058000,-75,1590519759231,3
058000,-73,1590519759249,5
058000,-88,1590519759265,25
058000,-83,1590519759269,9
058000,-93,1590519759286,20
058000,-87,1590519759320,11
058000,-75,1590519759336,3
058000,-73,1590519759368,5
058000,-87,1590519759375,25
058000,-83,1590519759378,9
058000,-95,1590519759406,20
058000,-77,1590519759425,3
058000,-73,1590519759462,5
058000,-83,1590519759483,9
058000,-96,1590519759501,20
058000,-100,1590519759517,6
058000,-91,1590519759534,11
058000,-76,1590519759537,3
058000,-87,1590519759567,25
058000,-73,1590519759585,5
