objloc,rss,time,beacon
110000,-95,1451671944409,4
110000,-76,1451671944425,5
110000,-88,1451671944442,20
110000,-79,1451671944477,3
110000,-97,1451671944521,4
110000,-76,1451671944538,5
110000,-90,1451671944542,20
110000,-91,1451671944569,19
110000,-86,1451671944650,19
110000,-78,1451671944695,3
110000,-91,1451671944699,11
110000,-96,1451671944741,4
110000,-76,1451671944748,5
110000,-75,1451671944751,20
110000,-89,1451671944769,19
110000,-79,1451671944797,3
110000,-92,1451671944819,11
110000,-96,1451671944825,25
110000,-99,1451671944838,4
110000,-75,1451671944844,5
110000,-72,1451671944876,20
110000,-94,1451671944879,19
110000,-80,1451671944902,9
110000,-76,1451671944911,3
110000,-93,1451671944914,11
110000,-96,1451671944938,25
110000,-93,1451671944965,19
110000,-83,1451671945003,9
110000,-85,1451671945019,3
110000,-87,1451671945023,11
110000,-95,1451671945051,8
110000,-74,1451671945085,20
110000,-90,1451671945091,19
110000,-86,1451671945117,11
110000,-95,1451671945154,8
110000,-89,1451671945185,19
110000,-90,1451671945236,3
110000,-96,1451671945260,8
110000,-73,1451671945264,20
110000,-87,1451671945284,19
110000,-89,1451671945318,3
110000,-96,1451671945369,8
110000,-88,1451671945388,19
110000,-88,1451671945427,3
110000,-94,1451671945487,8
110000,-75,1451671945492,5
110000,-74,1451671945495,20
110000,-82,1451671945517,19
110000,-83,1451671945537,11
110000,-76,1451671945584,20
110000,-77,1451671945601,19
110000,-83,1451671945630,9
110000,-88,1451671945652,3
110000,-90,1451671945655,11
110000,-94,1451671945682,4
110000,-96,1451671945687,8
110000,-74,1451671945703,5
110000,-81,1451671945707,19
110000,-87,1451671945737,9
110000,-89,1451671945751,3
110000,-89,1451671945755,11
110000,-75,1451671945794,20
110000,-78,1451671945819,19
110000,-96,1451671945846,9
110000,-83,1451671945849,3
110000,-71,1451671945917,5
110000,-76,1451671945920,20
110000,-82,1451671945946,9
110000,-88,1451671945969,3
110000,-76,1451671946006,20
110000,-82,1451671946010,19
110000,-73,1451671946050,9
110000,-88,1451671946066,3
110000,-79,1451671946109,19
110000,-76,1451671946113,5
110000,-83,1451671946151,9
110000,-88,1451671946172,11
110000,-96,1451671946202,8
110000,-90,1451671946260,9
110000,-91,1451671946283,11
110000,-92,1451671946287,3
110000,-98,1451671946306,8
110000,-79,1451671946335,20
110000,-76,1451671946339,19
110000,-72,1451671946342,5
110000,-91,1451671946366,9
110000,-73,1451671946426,5
110000,-78,1451671946432,20
110000,-81,1451671946468,9
110000,-86,1451671946472,3
110000,-94,1451671946485,11
110000,-74,1451671946536,5
110000,-79,1451671946545,19
110000,-87,1451671946583,3
110000,-89,1451671946587,9
110000,-90,1451671946591,11
110000,-70,1451671946637,5
110000,-78,1451671946666,20
110000,-89,1451671946693,3
110000,-92,1451671946696,11
110000,-69,1451671946744,5
110000,-88,1451671946779,3
110000,-90,1451671946798,11
110000,-70,1451671946848,5
110000,-78,1451671946853,19
110000,-88,1451671946899,3
110000,-92,1451671946902,11
110000,-95,1451671946906,9
110000,-70,1451671946955,5
110000,-87,1451671947000,3
110000,-90,1451671947005,11
110000,-93,1451671947031,9
110000,-98,1451671947051,8
110000,-69,1451671947069,5
110000,-79,1451671947074,19
110000,-80,1451671947077,20
110000,-98,1451671947117,9
110000,-76,1451671947167,19
110000,-69,1451671947171,5
110000,-75,1451671947184,20
110000,-90,1451671947219,3
110000,-92,1451671947223,11
110000,-88,1451671947226,9
110000,-76,1451671947281,19
110000,-69,1451671947285,5
110000,-77,1451671947298,20
110000,-91,1451671947319,11
110000,-96,1451671947324,9
110000,-79,1451671947374,19
110000,-64,1451671947402,5
110000,-78,1451671947407,20
110000,-94,1451671947437,11
110000,-89,1451671947442,3
110000,-96,1451671947446,9
110000,-80,1451671947479,19
110000,-69,1451671947502,5
110000,-90,1451671947534,11
110000,-91,1451671947539,3
110000,-79,1451671947590,19
110000,-70,1451671947598,5
110000,-94,1451671947627,11
110000,-89,1451671947650,3
110000,-95,1451671947655,9
110000,-78,1451671947693,19
110000,-94,1451671947724,11
110000,-88,1451671947742,9
110000,-101,1451671947785,8
110000,-76,1451671947821,19
110000,-78,1451671947827,20
110000,-71,1451671947837,5
110000,-97,1451671947845,11
110000,-89,1451671947866,9
110000,-89,1451671947873,3
110000,-79,1451671947901,19
110000,-79,1451671947907,20
110000,-69,1451671947935,5
110000,-88,1451671947970,9
110000,-88,1451671947975,3
110000,-97,1451671948012,8
110000,-79,1451671948016,19
110000,-78,1451671948034,20
110000,-68,1451671948041,5
110000,-80,1451671948098,19
110000,-78,1451671948117,20
110000,-69,1451671948152,5
110000,-91,1451671948158,11
110000,-85,1451671948182,3
110000,-78,1451671948214,20
110000,-70,1451671948237,5
110000,-93,1451671948269,11
