objloc,rss,time,beacon
384000,-85,157912569,19
384000,-94,157912572,8
384000,-61,157912588,22
384000,-71,157912624,24
384000,-91,157912691,19
384000,-60,157912694,22
384000,-71,157912728,24
384000,-94,157912777,8
384000,-87,157912780,19
384000,-93,157912803,1
384000,-61,157912808,22
384000,-72,157912844,24
384000,-97,157912880,8
384000,-91,157912900,1
384000,-94,157912904,19
384000,-61,157912911,22
384000,-72,157912934,24
384000,-99,157913000,8
384000,-64,157913003,22
384000,-70,157913049,24
384000,-90,157913101,1
384000,-86,157913105,19
384000,-63,157913124,22
384000,-67,157913148,24
384000,-92,157913208,19
384000,-95,157913212,8
384000,-89,157913215,1
384000,-61,157913234,22
384000,-72,157913252,24
384000,-88,157913315,19
384000,-48,157913349,24
384000,-89,157913414,19
384000,-89,157913417,1
384000,-61,157913429,22
384000,-67,157913457,24
384000,-92,157913511,8
384000,-89,157913516,19
384000,-93,157913528,1
384000,-60,157913546,22
384000,-72,157913565,24
384000,-92,157913627,19
384000,-91,157913629,8
384000,-61,157913645,22
384000,-72,157913668,24
384000,-90,157913721,19
384000,-91,157913744,1
384000,-63,157913763,22
384000,-72,157913783,24
384000,-90,157913829,19
384000,-91,157913832,1
384000,-61,157913849,22
384000,-96,157913950,19
384000,-90,157913953,1
384000,-72,157913988,24
384000,-93,157914035,19
384000,-94,157914062,1
384000,-61,157914066,22
384000,-73,157914091,24
384000,-88,157914137,19
384000,-94,157914164,8
384000,-93,157914167,1
384000,-63,157914170,22
384000,-74,157914201,24
384000,-88,157914247,19
384000,-90,157914280,1
384000,-74,157914305,24
384000,-89,157914347,19
384000,-91,157914377,1
384000,-64,157914380,22
384000,-74,157914411,24
384000,-92,157914449,19
384000,-61,157914484,22
384000,-70,157914519,24
384000,-90,157914562,19
384000,-92,157914594,1
384000,-74,157914622,24
384000,-92,157914660,19
384000,-93,157914678,1
384000,-63,157914697,22
384000,-74,157914731,24
384000,-92,157914783,19
384000,-93,157914788,1
384000,-74,157914835,24
384000,-89,157914882,19
384000,-94,157914913,1
384000,-61,157914918,22
384000,-74,157914946,24
384000,-89,157914994,19
384000,-64,157915012,22
384000,-74,157915047,24
384000,-88,157915089,19
384000,-61,157915109,22
384000,-70,157915146,24
384000,-90,157915187,19
384000,-93,157915211,1
