objloc,rss,time,beacon
104000,-89,1451981042230,9
104000,-91,1451981042235,19
104000,-76,1451981042251,5
104000,-90,1451981042256,20
104000,-95,1451981042283,3
104000,-98,1451981042288,11
104000,-99,1451981042293,4
104000,-90,1451981042320,9
104000,-88,1451981042338,19
104000,-75,1451981042367,5
104000,-93,1451981042372,3
104000,-86,1451981042375,20
104000,-97,1451981042389,11
104000,-95,1451981042392,4
104000,-83,1451981042483,5
104000,-90,1451981042489,3
104000,-91,1451981042494,20
104000,-96,1451981042497,11
104000,-97,1451981042501,4
104000,-77,1451981042583,5
104000,-89,1451981042590,3
104000,-97,1451981042602,4
104000,-80,1451981042641,9
104000,-84,1451981042645,19
104000,-76,1451981042674,5
104000,-88,1451981042700,3
104000,-93,1451981042703,20
104000,-96,1451981042709,4
104000,-83,1451981042751,9
104000,-86,1451981042754,19
104000,-77,1451981042773,5
104000,-88,1451981042801,3
104000,-99,1451981042805,20
104000,-95,1451981042808,4
104000,-81,1451981042851,9
104000,-84,1451981042854,19
104000,-75,1451981042881,5
104000,-90,1451981042885,3
104000,-90,1451981042904,20
104000,-96,1451981042909,4
104000,-77,1451981042951,9
104000,-85,1451981042954,19
104000,-77,1451981042990,5
104000,-89,1451981042994,20
104000,-79,1451981043068,9
104000,-86,1451981043072,19
104000,-76,1451981043100,5
104000,-89,1451981043103,20
104000,-96,1451981043122,4
104000,-80,1451981043168,9
104000,-90,1451981043222,20
104000,-77,1451981043226,5
104000,-96,1451981043229,4
104000,-79,1451981043268,9
104000,-83,1451981043272,19
104000,-86,1451981043305,20
104000,-77,1451981043318,5
104000,-98,1451981043322,4
104000,-80,1451981043369,9
104000,-85,1451981043415,20
104000,-77,1451981043419,5
104000,-88,1451981043436,3
104000,-86,1451981043461,19
104000,-76,1451981043517,5
104000,-97,1451981043536,4
104000,-85,1451981043565,19
104000,-75,1451981043626,5
104000,-100,1451981043630,20
104000,-91,1451981043653,3
104000,-82,1451981043688,9
104000,-91,1451981043734,20
104000,-75,1451981043738,5
104000,-100,1451981043755,4
104000,-88,1451981043776,19
104000,-84,1451981043804,9
104000,-93,1451981043836,20
104000,-89,1451981043839,3
104000,-77,1451981043862,5
104000,-94,1451981043866,4
104000,-88,1451981043887,19
104000,-92,1451981043940,20
104000,-92,1451981043956,3
104000,-74,1451981043959,5
104000,-98,1451981043973,11
104000,-91,1451981043989,19
104000,-88,1451981044011,9
104000,-89,1451981044046,20
104000,-96,1451981044075,4
104000,-77,1451981044079,5
104000,-86,1451981044095,19
104000,-93,1451981044101,9
104000,-92,1451981044158,20
104000,-90,1451981044163,3
104000,-97,1451981044166,4
104000,-74,1451981044192,5
104000,-97,1451981044196,11
104000,-88,1451981044223,19
104000,-90,1451981044226,9
104000,-98,1451981044257,20
104000,-97,1451981044273,3
104000,-98,1451981044278,4
104000,-86,1451981044303,9
104000,-89,1451981044307,19
104000,-90,1451981044360,20
104000,-92,1451981044374,3
104000,-76,1451981044393,5
104000,-81,1451981044408,9
104000,-90,1451981044427,19
104000,-86,1451981044465,20
104000,-76,1451981044488,5
104000,-99,1451981044491,4
104000,-80,1451981044513,9
104000,-91,1451981044532,19
104000,-86,1451981044572,20
104000,-86,1451981044591,3
104000,-75,1451981044594,5
104000,-82,1451981044628,9
104000,-89,1451981044643,19
104000,-90,1451981044677,20
104000,-87,1451981044710,3
104000,-75,1451981044715,5
104000,-82,1451981044741,9
104000,-90,1451981044744,19
104000,-91,1451981044781,20
104000,-75,1451981044813,5
104000,-91,1451981044819,3
104000,-87,1451981044887,20
104000,-76,1451981044891,5
104000,-91,1451981044935,9
104000,-90,1451981044958,19
104000,-87,1451981044996,3
104000,-83,1451981045092,20
104000,-93,1451981045112,3
104000,-75,1451981045118,5
104000,-87,1451981045154,9
104000,-93,1451981045165,19
104000,-89,1451981045195,20
104000,-76,1451981045219,5
104000,-82,1451981045252,9
104000,-91,1451981045280,19
104000,-92,1451981045322,20
104000,-75,1451981045327,5
104000,-83,1451981045349,9
104000,-91,1451981045380,19
104000,-90,1451981045404,20
104000,-89,1451981045430,3
104000,-89,1451981045457,11
104000,-100,1451981045463,6
104000,-77,1451981045469,9
104000,-91,1451981045472,19
104000,-91,1451981045512,20
104000,-71,1451981045533,5
104000,-90,1451981045540,3
104000,-90,1451981045567,11
104000,-95,1451981045576,19
104000,-78,1451981045580,9
104000,-88,1451981045624,20
104000,-89,1451981045652,3
104000,-98,1451981045657,4
104000,-88,1451981045661,11
104000,-92,1451981045692,19
104000,-82,1451981045695,9
104000,-88,1451981045748,20
104000,-72,1451981045755,5
104000,-89,1451981045759,3
104000,-89,1451981045764,11
104000,-95,1451981045788,19
104000,-79,1451981045792,9
104000,-89,1451981045848,20
104000,-89,1451981045853,3
104000,-88,1451981045871,11
104000,-93,1451981045899,19
104000,-78,1451981045904,9
104000,-71,1451981045941,5
104000,-86,1451981045971,11
104000,-90,1451981046001,19
104000,-77,1451981046006,9
104000,-92,1451981046041,20
104000,-71,1451981046046,5
104000,-88,1451981046075,3
104000,-87,1451981046078,11
104000,-92,1451981046102,19
104000,-73,1451981046112,9
104000,-72,1451981046139,5
104000,-98,1451981046162,20
104000,-87,1451981046165,3
104000,-86,1451981046186,11
104000,-100,1451981046191,6
104000,-91,1451981046219,19
104000,-70,1451981046225,9
104000,-71,1451981046257,5
104000,-87,1451981046285,11
104000,-91,1451981046320,19
104000,-75,1451981046325,9
104000,-71,1451981046355,5
104000,-91,1451981046360,20
104000,-92,1451981046386,3
104000,-84,1451981046397,11
104000,-98,1451981046425,6
104000,-91,1451981046430,19
104000,-76,1451981046434,9
104000,-71,1451981046474,5
104000,-88,1451981046495,3
104000,-84,1451981046498,11
104000,-93,1451981046519,19
104000,-76,1451981046547,9
104000,-85,1451981046566,20
104000,-71,1451981046570,5
104000,-98,1451981046593,4
104000,-88,1451981046598,3
104000,-86,1451981046602,11
104000,-92,1451981046626,19
104000,-74,1451981046649,9
104000,-92,1451981046666,20
104000,-73,1451981046681,5
104000,-91,1451981046700,3
104000,-87,1451981046709,11
104000,-91,1451981046733,19
104000,-75,1451981046754,9
104000,-72,1451981046787,5
104000,-90,1451981046821,3
104000,-86,1451981046828,11
104000,-92,1451981046855,19
104000,-75,1451981046864,9
104000,-84,1451981046887,20
104000,-72,1451981046892,5
104000,-87,1451981046922,3
104000,-96,1451981046926,4
104000,-86,1451981046931,11
104000,-100,1451981046938,6
104000,-93,1451981046954,19
104000,-73,1451981046959,9
104000,-89,1451981046994,20
104000,-73,1451981047020,5
104000,-94,1451981047058,19
104000,-73,1451981047062,9
104000,-87,1451981047095,20
104000,-91,1451981047125,3
104000,-86,1451981047141,11
104000,-92,1451981047166,19
104000,-74,1451981047171,9
104000,-100,1451981047178,25
104000,-87,1451981047201,20
104000,-84,1451981047206,3
104000,-70,1451981047228,5
104000,-87,1451981047244,11
104000,-99,1451981047263,6
104000,-98,1451981047267,19
104000,-74,1451981047272,9
104000,-89,1451981047308,3
104000,-92,1451981047313,20
104000,-97,1451981047346,4
104000,-72,1451981047352,5
104000,-84,1451981047365,11
104000,-75,1451981047386,9
104000,-84,1451981047412,3
104000,-72,1451981047442,5
104000,-87,1451981047447,11
104000,-94,1451981047476,19
104000,-74,1451981047482,9
104000,-84,1451981047538,3
104000,-95,1451981047564,19
104000,-76,1451981047594,9
104000,-86,1451981047624,20
104000,-85,1451981047658,11
104000,-90,1451981047694,19
104000,-73,1451981047727,5
104000,-92,1451981047732,3
104000,-87,1451981047758,11
104000,-77,1451981047799,9
104000,-93,1451981047829,3
104000,-70,1451981047834,5
104000,-85,1451981047838,20
104000,-84,1451981047857,11
104000,-89,1451981047896,19
104000,-71,1451981047930,5
104000,-82,1451981047936,20
104000,-86,1451981047959,3
104000,-87,1451981047964,11
104000,-91,1451981047993,19
104000,-75,1451981047998,9
104000,-70,1451981048035,5
104000,-83,1451981048040,20
104000,-86,1451981048062,11
104000,-87,1451981048091,19
104000,-89,1451981048137,3
104000,-70,1451981048142,5
104000,-84,1451981048164,20
104000,-84,1451981048171,11
104000,-91,1451981048195,19
104000,-75,1451981048200,9
104000,-73,1451981048261,5
104000,-88,1451981048267,3
104000,-81,1451981048272,20
104000,-87,1451981048294,11
104000,-89,1451981048299,19
104000,-76,1451981048326,9
104000,-100,1451981048331,6
104000,-70,1451981048366,5
104000,-88,1451981048371,3
104000,-84,1451981048374,20
104000,-84,1451981048401,11
104000,-91,1451981048406,19
104000,-75,1451981048428,9
104000,-76,1451981048456,5
104000,-91,1451981048460,3
104000,-85,1451981048474,20
104000,-84,1451981048500,11
104000,-92,1451981048526,19
104000,-76,1451981048531,9
104000,-84,1451981048571,20
104000,-85,1451981048604,11
104000,-90,1451981048609,19
104000,-74,1451981048633,9
104000,-94,1451981048670,3
104000,-72,1451981048680,5
104000,-83,1451981048697,20
104000,-86,1451981048727,11
104000,-90,1451981048732,19
104000,-74,1451981048736,9
104000,-73,1451981048762,5
104000,-88,1451981048766,3
104000,-83,1451981048795,20
104000,-88,1451981048828,11
104000,-99,1451981048912,4
104000,-84,1451981048916,20
104000,-89,1451981048923,11
104000,-95,1451981048948,19
104000,-72,1451981048980,5
104000,-90,1451981049020,11
104000,-90,1451981049054,19
104000,-75,1451981049062,9
104000,-86,1451981049111,20
104000,-89,1451981049130,11
104000,-92,1451981049161,19
104000,-77,1451981049166,9
104000,-73,1451981049222,5
104000,-94,1451981049227,3
104000,-85,1451981049234,20
104000,-89,1451981049240,11
104000,-91,1451981049253,19
104000,-76,1451981049258,9
104000,-72,1451981049311,5
104000,-90,1451981049313,3
104000,-85,1451981049323,20
104000,-87,1451981049342,11
104000,-91,1451981049368,19
104000,-76,1451981049372,9
104000,-72,1451981049395,5
104000,-90,1451981049399,3
104000,-85,1451981049420,20
104000,-88,1451981049437,11
104000,-99,1451981049457,6
104000,-91,1451981049473,19
104000,-75,1451981049476,9
104000,-72,1451981049490,5
104000,-90,1451981049506,3
104000,-85,1451981049524,20
104000,-88,1451981049543,11
104000,-92,1451981049566,19
104000,-76,1451981049591,9
104000,-72,1451981049595,5
104000,-85,1451981049615,20
104000,-89,1451981049652,11
104000,-101,1451981049667,6
104000,-76,1451981049678,9
104000,-90,1451981049698,19
104000,-72,1451981049702,5
104000,-93,1451981049743,3
104000,-88,1451981049788,11
