objloc,rss,time,beacon
000046,-81,1590518582465,6
000046,-85,1590518582511,12
000046,-95,1590518582532,13
000046,-87,1590518582551,4
000046,-73,1590518582581,6
000046,-96,1590518582608,25
000046,-84,1590518582634,12
000046,-89,1590518582638,13
000046,-89,1590518582655,4
000046,-75,1590518582682,6
000046,-95,1590518582708,25
000046,-86,1590518582732,12
000046,-88,1590518582738,13
000046,-90,1590518582752,4
000046,-75,1590518582782,6
000046,-82,1590518582820,12
000046,-88,1590518582851,13
000046,-88,1590518582857,4
000046,-77,1590518582878,6
000046,-95,1590518582935,25
000046,-82,1590518582941,12
000046,-87,1590518582945,13
000046,-87,1590518582969,4
000046,-98,1590518582974,11
000046,-80,1590518583000,6
000046,-83,1590518583051,12
000046,-88,1590518583054,13
000046,-83,1590518583075,4
000046,-78,1590518583101,6
000046,-98,1590518583150,25
000046,-87,1590518583157,13
000046,-93,1590518583174,4
000046,-80,1590518583202,6
000046,-81,1590518583236,12
000046,-86,1590518583260,13
000046,-88,1590518583284,4
000046,-75,1590518583305,6
000046,-81,1590518583339,12
000046,-89,1590518583368,13
000046,-87,1590518583388,4
000046,-95,1590518583391,11
000046,-73,1590518583404,6
000046,-81,1590518583444,12
000046,-93,1590518583469,25
000046,-90,1590518583472,13
000046,-83,1590518583486,4
000046,-82,1590518583550,12
000046,-88,1590518583589,4
000046,-72,1590518583605,6
000046,-82,1590518583656,12
000046,-91,1590518583674,13
000046,-91,1590518583705,4
000046,-72,1590518583708,6
000046,-80,1590518583761,12
000046,-89,1590518583787,13
000046,-88,1590518583804,4
000046,-73,1590518583807,6
000046,-83,1590518583866,12
000046,-90,1590518583888,13
000046,-87,1590518583908,4
000046,-72,1590518583925,6
000046,-81,1590518583974,12
000046,-92,1590518583990,13
000046,-88,1590518584022,4
000046,-73,1590518584027,6
000046,-82,1590518584078,12
000046,-90,1590518584105,13
000046,-94,1590518584122,4
000046,-72,1590518584139,6
000046,-80,1590518584181,12
000046,-90,1590518584206,13
000046,-70,1590518584258,6
000046,-82,1590518584290,12
000046,-89,1590518584313,13
000046,-74,1590518584347,6
000046,-81,1590518584389,12
000046,-90,1590518584414,13
000046,-73,1590518584442,6
000046,-81,1590518584492,12
000046,-89,1590518584516,13
000046,-95,1590518584541,4
000046,-74,1590518584561,6
000046,-80,1590518584599,12
000046,-90,1590518584625,13
000046,-73,1590518584652,6
000046,-81,1590518584704,12
000046,-90,1590518584728,13
000046,-73,1590518584758,6
000046,-81,1590518584811,12
000046,-90,1590518584837,13
000046,-73,1590518584864,6
000046,-82,1590518584915,12
000046,-91,1590518584949,13
000046,-73,1590518584976,6
000046,-82,1590518585026,12
000046,-90,1590518585052,13
000046,-73,1590518585079,6
000046,-82,1590518585121,12
000046,-90,1590518585154,13
000046,-73,1590518585180,6
000046,-81,1590518585242,12
000046,-90,1590518585264,13
000046,-73,1590518585293,6
000046,-81,1590518585339,12
000046,-91,1590518585362,13
000046,-74,1590518585389,6
000046,-81,1590518585441,12
000046,-90,1590518585467,13
000046,-73,1590518585507,6
000046,-81,1590518585543,12
000046,-91,1590518585564,13
000046,-73,1590518585637,6
000046,-90,1590518585664,12
000046,-82,1590518585675,13
000046,-79,1590518585692,4
000046,-94,1590518585715,11
000046,-75,1590518585719,6
000046,-96,1590518585760,25
000046,-82,1590518585779,13
000046,-83,1590518585794,4
000046,-75,1590518585814,6
000046,-96,1590518585844,25
000046,-83,1590518585916,13
000046,-84,1590518585920,4
000046,-96,1590518585923,11
000046,-76,1590518585944,6
000046,-96,1590518585961,25
000046,-82,1590518585993,13
000046,-79,1590518586011,4
000046,-75,1590518586032,6
000046,-99,1590518586055,25
000046,-82,1590518586096,13
000046,-84,1590518586117,4
000046,-76,1590518586149,6
000046,-97,1590518586167,25
000046,-89,1590518586172,12
000046,-97,1590518586200,3
000046,-83,1590518586214,13
000046,-82,1590518586237,4
000046,-96,1590518586243,11
000046,-76,1590518586247,6
000046,-90,1590518586280,12
000046,-95,1590518586284,3
000046,-82,1590518586308,13
000046,-82,1590518586333,4
000046,-97,1590518586338,11
000046,-75,1590518586357,6
000046,-96,1590518586384,25
000046,-90,1590518586389,12
000046,-82,1590518586423,13
000046,-82,1590518586450,4
000046,-96,1590518586456,11
000046,-76,1590518586460,6
000046,-98,1590518586484,25
000046,-89,1590518586490,12
000046,-83,1590518586518,13
000046,-94,1590518586553,11
000046,-76,1590518586559,6
000046,-96,1590518586589,25
000046,-98,1590518586594,3
000046,-82,1590518586623,13
000046,-83,1590518586627,4
000046,-96,1590518586655,11
000046,-75,1590518586664,6
000046,-98,1590518586688,25
000046,-89,1590518586692,12
000046,-82,1590518586721,13
000046,-83,1590518586754,4
000046,-96,1590518586760,11
000046,-76,1590518586787,6
000046,-97,1590518586794,25
000046,-90,1590518586819,12
000046,-83,1590518586833,13
000046,-82,1590518586859,4
000046,-95,1590518586863,11
000046,-75,1590518586889,6
000046,-96,1590518586893,25
000046,-90,1590518586922,12
000046,-82,1590518586953,13
000046,-83,1590518586958,4
000046,-76,1590518586986,6
000046,-96,1590518587020,25
000046,-90,1590518587026,12
000046,-83,1590518587054,13
000046,-82,1590518587060,4
000046,-95,1590518587087,11
000046,-76,1590518587121,6
000046,-97,1590518587128,25
000046,-91,1590518587131,12
000046,-82,1590518587154,13
000046,-82,1590518587159,4
000046,-95,1590518587181,11
000046,-75,1590518587207,6
000046,-95,1590518587211,25
000046,-90,1590518587243,12
000046,-82,1590518587248,13
000046,-82,1590518587273,4
000046,-95,1590518587278,11
000046,-76,1590518587304,6
000046,-90,1590518587330,12
000046,-83,1590518587368,4
000046,-95,1590518587389,11
000046,-76,1590518587422,6
000046,-95,1590518587429,25
000046,-89,1590518587457,12
000046,-82,1590518587464,13
000046,-83,1590518587489,4
000046,-96,1590518587500,11
000046,-76,1590518587522,6
000046,-91,1590518587555,12
000046,-99,1590518587563,3
000046,-83,1590518587595,13
000046,-83,1590518587599,4
000046,-95,1590518587604,11
000046,-76,1590518587630,6
000046,-96,1590518587657,25
000046,-90,1590518587664,12
000046,-82,1590518587691,13
000046,-82,1590518587696,4
000046,-96,1590518587700,11
000046,-76,1590518587731,6
000046,-96,1590518587757,25
000046,-89,1590518587763,12
000046,-82,1590518587790,13
000046,-82,1590518587795,4
000046,-95,1590518587799,11
000046,-76,1590518587825,6
000046,-99,1590518587861,25
000046,-89,1590518587866,12
000046,-82,1590518587890,13
000046,-94,1590518587897,11
000046,-76,1590518587924,6
000046,-95,1590518587959,25
000046,-89,1590518587964,12
000046,-82,1590518587991,13
000046,-83,1590518587996,4
000046,-96,1590518588030,11
000046,-76,1590518588034,6
000046,-89,1590518588063,12
000046,-82,1590518588097,13
000046,-83,1590518588104,4
