objloc,rss,time,beacon
020000,-90,1451671217137,3
020000,-77,1451671217173,11
020000,-88,1451671217189,25
020000,-76,1451671217194,4
020000,-77,1451671217278,11
020000,-91,1451671217304,25
020000,-98,1451671217307,9
020000,-76,1451671217312,4
020000,-95,1451671217315,20
020000,-92,1451671217343,5
020000,-90,1451671217370,3
020000,-76,1451671217388,11
020000,-86,1451671217393,25
020000,-92,1451671217396,9
020000,-77,1451671217418,4
020000,-91,1451671217421,20
020000,-88,1451671217444,5
020000,-87,1451671217470,3
020000,-75,1451671217488,11
020000,-84,1451671217493,25
020000,-92,1451671217508,9
020000,-93,1451671217512,20
020000,-74,1451671217518,4
020000,-91,1451671217571,5
020000,-99,1451671217574,13
020000,-75,1451671217591,11
020000,-83,1451671217597,25
020000,-95,1451671217622,9
020000,-75,1451671217626,4
020000,-74,1451671217707,11
020000,-84,1451671217711,25
020000,-73,1451671217725,4
020000,-83,1451671217771,3
020000,-98,1451671217792,13
020000,-76,1451671217824,11
020000,-86,1451671217830,25
020000,-91,1451671217833,9
020000,-95,1451671217837,20
020000,-75,1451671217840,4
020000,-83,1451671217872,3
020000,-78,1451671217915,11
020000,-87,1451671217918,25
020000,-92,1451671217940,9
020000,-94,1451671217943,20
020000,-76,1451671217947,4
020000,-83,1451671217973,3
020000,-94,1451671217990,5
020000,-77,1451671218010,11
020000,-84,1451671218044,25
020000,-95,1451671218049,20
020000,-75,1451671218052,4
020000,-92,1451671218055,9
020000,-86,1451671218091,3
020000,-83,1451671218120,25
020000,-97,1451671218141,20
020000,-76,1451671218145,4
020000,-77,1451671218225,11
020000,-83,1451671218243,25
020000,-91,1451671218246,9
020000,-75,1451671218250,4
020000,-96,1451671218272,6
020000,-82,1451671218300,3
020000,-91,1451671218303,5
020000,-96,1451671218332,19
020000,-81,1451671218336,11
020000,-86,1451671218339,25
020000,-92,1451671218353,20
020000,-96,1451671218357,9
020000,-99,1451671218361,12
020000,-98,1451671218366,6
020000,-83,1451671218387,3
020000,-97,1451671218410,5
020000,-95,1451671218428,19
020000,-77,1451671218431,11
020000,-84,1451671218445,25
020000,-97,1451671218449,9
020000,-74,1451671218452,4
020000,-96,1451671218468,6
020000,-90,1451671218495,5
020000,-95,1451671218545,9
020000,-92,1451671218565,20
020000,-73,1451671218569,4
020000,-99,1451671218572,12
020000,-96,1451671218594,6
020000,-86,1451671218598,5
020000,-99,1451671218621,19
020000,-77,1451671218646,11
020000,-93,1451671218652,20
020000,-74,1451671218669,4
020000,-98,1451671218698,6
020000,-85,1451671218714,5
020000,-83,1451671218726,3
020000,-97,1451671218750,19
020000,-92,1451671218767,20
020000,-74,1451671218771,4
020000,-86,1451671218803,25
020000,-94,1451671218809,6
020000,-88,1451671218813,5
020000,-83,1451671218831,3
020000,-94,1451671218855,20
020000,-78,1451671218860,11
020000,-96,1451671218882,9
020000,-73,1451671218888,4
020000,-86,1451671218891,25
020000,-96,1451671218894,6
020000,-90,1451671218914,5
020000,-82,1451671218928,3
020000,-94,1451671218964,20
020000,-98,1451671218968,9
020000,-78,1451671218973,11
020000,-74,1451671218985,4
020000,-87,1451671218989,25
020000,-97,1451671219015,6
020000,-89,1451671219018,5
020000,-83,1451671219031,3
020000,-93,1451671219061,20
020000,-98,1451671219083,9
020000,-79,1451671219086,11
020000,-73,1451671219089,4
020000,-99,1451671219092,12
020000,-93,1451671219103,6
020000,-89,1451671219133,5
020000,-82,1451671219136,3
020000,-93,1451671219167,20
020000,-79,1451671219183,11
020000,-73,1451671219187,4
020000,-87,1451671219200,25
020000,-95,1451671219217,6
020000,-89,1451671219223,5
020000,-81,1451671219238,3
020000,-93,1451671219270,20
020000,-76,1451671219302,11
020000,-72,1451671219305,4
020000,-86,1451671219308,25
020000,-96,1451671219321,6
020000,-88,1451671219326,5
020000,-82,1451671219351,3
020000,-95,1451671219376,20
020000,-73,1451671219405,4
020000,-85,1451671219408,25
020000,-88,1451671219426,5
020000,-82,1451671219453,3
020000,-96,1451671219471,20
020000,-85,1451671219510,25
020000,-88,1451671219535,5
020000,-81,1451671219557,3
020000,-95,1451671219586,20
020000,-78,1451671219607,11
020000,-73,1451671219611,4
020000,-86,1451671219636,25
020000,-97,1451671219640,6
020000,-89,1451671219653,5
020000,-82,1451671219670,3
020000,-93,1451671219687,20
020000,-72,1451671219710,4
020000,-79,1451671219739,11
020000,-85,1451671219743,25
020000,-95,1451671219749,6
020000,-89,1451671219761,5
020000,-82,1451671219787,3
020000,-97,1451671219791,19
020000,-96,1451671219804,20
020000,-87,1451671219823,25
020000,-89,1451671219851,5
020000,-94,1451671219900,20
020000,-73,1451671219925,4
020000,-87,1451671219929,25
020000,-79,1451671219957,11
020000,-95,1451671219961,6
020000,-89,1451671219966,5
020000,-98,1451671219986,19
020000,-83,1451671220007,3
020000,-95,1451671220025,20
020000,-73,1451671220033,4
020000,-79,1451671220056,11
020000,-94,1451671220060,6
020000,-90,1451671220076,5
020000,-99,1451671220108,19
020000,-81,1451671220112,3
020000,-93,1451671220116,20
020000,-73,1451671220133,4
020000,-87,1451671220137,25
020000,-97,1451671220162,6
020000,-79,1451671220167,11
020000,-82,1451671220198,3
020000,-94,1451671220231,20
020000,-73,1451671220244,4
020000,-86,1451671220253,25
020000,-97,1451671220271,6
020000,-78,1451671220276,11
020000,-89,1451671220310,5
020000,-81,1451671220345,3
020000,-93,1451671220357,20
020000,-74,1451671220360,4
020000,-87,1451671220362,25
020000,-96,1451671220364,6
020000,-79,1451671220368,11
020000,-88,1451671220407,5
020000,-82,1451671220438,3
020000,-95,1451671220440,20
020000,-73,1451671220444,4
020000,-85,1451671220465,25
020000,-96,1451671220468,6
020000,-78,1451671220472,11
020000,-89,1451671220494,5
020000,-98,1451671220499,19
020000,-81,1451671220522,3
020000,-94,1451671220545,20
020000,-73,1451671220549,4
020000,-86,1451671220563,25
020000,-94,1451671220579,6
020000,-78,1451671220583,11
020000,-89,1451671220597,5
020000,-81,1451671220631,3
020000,-73,1451671220641,4
020000,-84,1451671220657,25
020000,-79,1451671220676,11
020000,-89,1451671220695,5
020000,-82,1451671220734,3
020000,-95,1451671220758,20
020000,-74,1451671220761,4
020000,-85,1451671220763,25
020000,-96,1451671220779,6
020000,-79,1451671220783,11
020000,-90,1451671220800,5
020000,-82,1451671220839,3
020000,-74,1451671220873,4
020000,-87,1451671220878,25
020000,-76,1451671220905,11
020000,-90,1451671220909,5
020000,-82,1451671220940,3
020000,-94,1451671220962,20
020000,-73,1451671220965,4
020000,-86,1451671220984,25
020000,-96,1451671220987,6
020000,-79,1451671220995,11
020000,-89,1451671221016,5
020000,-71,1451671221055,20
020000,-55,1451671221060,4
020000,-88,1451671221114,5
020000,-81,1451671221164,3
020000,-94,1451671221180,20
020000,-72,1451671221192,4
020000,-85,1451671221218,25
020000,-98,1451671221223,6
020000,-78,1451671221227,11
020000,-89,1451671221231,5
020000,-81,1451671221251,3
020000,-71,1451671221276,4
020000,-79,1451671221301,11
020000,-94,1451671221390,20
020000,-72,1451671221395,4
020000,-84,1451671221400,25
020000,-95,1451671221422,6
020000,-78,1451671221427,11
020000,-81,1451671221453,3
020000,-92,1451671221495,20
020000,-85,1451671221501,25
020000,-72,1451671221507,4
020000,-78,1451671221517,11
020000,-89,1451671221534,5
020000,-81,1451671221568,3
020000,-72,1451671221600,4
020000,-78,1451671221621,11
020000,-94,1451671221625,6
020000,-89,1451671221653,5
020000,-82,1451671221659,3
020000,-85,1451671221702,25
020000,-72,1451671221706,4
020000,-77,1451671221725,11
020000,-94,1451671221730,6
020000,-89,1451671221757,5
020000,-81,1451671221764,3
020000,-95,1451671221794,20
020000,-85,1451671221825,25
020000,-72,1451671221830,4
020000,-78,1451671221833,11
020000,-93,1451671221837,6
020000,-87,1451671221859,5
020000,-82,1451671221892,3
020000,-93,1451671221897,20
020000,-73,1451671221923,4
020000,-78,1451671221956,11
020000,-89,1451671221964,5
020000,-82,1451671221991,3
020000,-73,1451671222021,4
020000,-78,1451671222044,11
020000,-93,1451671222049,6
020000,-87,1451671222074,5
020000,-73,1451671222130,4
020000,-79,1451671222162,11
020000,-94,1451671222171,6
020000,-81,1451671222207,3
020000,-95,1451671222219,20
020000,-73,1451671222238,4
020000,-85,1451671222247,25
020000,-79,1451671222250,11
020000,-93,1451671222252,6
020000,-89,1451671222273,5
020000,-83,1451671222296,3
