objloc,rss,time,beacon
288000,-94,1451723827919,22
288000,-72,1451723827923,19
288000,-91,1451723827939,24
288000,-95,1451723828003,20
288000,-82,1451723828008,1
288000,-71,1451723828013,8
288000,-92,1451723828036,22
288000,-76,1451723828041,19
288000,-90,1451723828044,24
288000,-90,1451723828103,20
288000,-94,1451723828107,9
288000,-82,1451723828111,1
288000,-71,1451723828114,8
288000,-91,1451723828135,22
288000,-81,1451723828138,19
288000,-85,1451723828218,20
288000,-94,1451723828222,9
288000,-80,1451723828227,1
288000,-72,1451723828232,8
288000,-92,1451723828253,22
288000,-92,1451723828257,24
288000,-88,1451723828299,20
288000,-76,1451723828324,1
288000,-73,1451723828327,8
288000,-91,1451723828343,22
288000,-91,1451723828347,24
288000,-80,1451723828423,1
288000,-94,1451723828428,9
288000,-94,1451723828457,22
288000,-94,1451723828463,24
288000,-94,1451723828521,20
288000,-77,1451723828525,1
288000,-72,1451723828528,8
288000,-93,1451723828546,22
288000,-76,1451723828550,19
288000,-97,1451723828573,24
288000,-84,1451723828623,20
288000,-77,1451723828628,1
288000,-72,1451723828654,8
288000,-95,1451723828659,9
288000,-97,1451723828663,22
288000,-78,1451723828666,19
288000,-87,1451723828739,20
288000,-73,1451723828742,8
288000,-99,1451723828746,9
288000,-97,1451723828761,22
288000,-76,1451723828767,19
288000,-82,1451723828829,20
288000,-76,1451723828856,1
288000,-74,1451723828861,8
288000,-88,1451723828864,9
288000,-82,1451723828881,22
288000,-73,1451723828887,19
288000,-87,1451723828926,20
288000,-91,1451723828951,9
288000,-82,1451723828974,22
288000,-84,1451723828978,24
288000,-74,1451723828991,19
288000,-89,1451723829027,20
288000,-91,1451723829059,9
288000,-71,1451723829062,1
288000,-73,1451723829065,8
288000,-82,1451723829081,22
288000,-84,1451723829086,24
288000,-76,1451723829106,19
288000,-88,1451723829146,9
288000,-67,1451723829150,1
288000,-73,1451723829173,8
288000,-83,1451723829189,22
288000,-86,1451723829192,24
288000,-76,1451723829212,19
288000,-87,1451723829239,20
288000,-72,1451723829256,1
288000,-74,1451723829273,8
288000,-82,1451723829291,22
288000,-83,1451723829294,24
288000,-75,1451723829309,19
288000,-90,1451723829379,9
288000,-73,1451723829383,1
288000,-73,1451723829386,8
288000,-83,1451723829401,22
288000,-84,1451723829404,24
288000,-73,1451723829425,19
288000,-84,1451723829445,20
288000,-73,1451723829482,8
288000,-81,1451723829497,22
288000,-87,1451723829502,24
288000,-79,1451723829529,19
288000,-86,1451723829558,20
288000,-92,1451723829578,9
288000,-72,1451723829582,1
288000,-72,1451723829599,8
288000,-82,1451723829603,22
288000,-84,1451723829629,24
288000,-76,1451723829633,19
288000,-89,1451723829655,20
288000,-92,1451723829682,9
288000,-73,1451723829689,1
288000,-73,1451723829703,8
288000,-82,1451723829706,22
288000,-84,1451723829729,24
288000,-77,1451723829732,19
288000,-89,1451723829762,20
288000,-92,1451723829794,9
288000,-72,1451723829806,1
288000,-73,1451723829809,8
288000,-81,1451723829823,22
288000,-86,1451723829827,24
288000,-76,1451723829843,19
288000,-86,1451723829902,20
288000,-92,1451723829905,9
288000,-72,1451723829910,1
288000,-73,1451723829930,8
288000,-81,1451723829935,22
288000,-88,1451723829939,24
288000,-77,1451723829962,19
288000,-87,1451723829978,20
288000,-72,1451723830019,1
288000,-74,1451723830022,8
288000,-81,1451723830027,22
288000,-88,1451723830046,24
288000,-84,1451723830079,20
288000,-94,1451723830102,9
288000,-73,1451723830127,1
288000,-74,1451723830133,8
288000,-82,1451723830139,22
288000,-87,1451723830155,24
288000,-77,1451723830179,19
288000,-85,1451723830208,20
288000,-93,1451723830211,9
288000,-73,1451723830230,1
288000,-70,1451723830234,8
288000,-81,1451723830238,22
288000,-87,1451723830258,24
288000,-93,1451723830299,9
288000,-74,1451723830332,1
288000,-73,1451723830335,8
288000,-81,1451723830348,22
288000,-87,1451723830352,24
288000,-77,1451723830370,19
288000,-89,1451723830398,20
288000,-93,1451723830414,9
288000,-73,1451723830452,1
288000,-74,1451723830455,8
288000,-81,1451723830458,22
288000,-88,1451723830461,24
288000,-78,1451723830474,19
288000,-74,1451723830537,1
288000,-74,1451723830550,8
288000,-76,1451723830580,19
288000,-74,1451723830634,1
288000,-73,1451723830651,8
288000,-83,1451723830656,22
288000,-87,1451723830659,24
288000,-79,1451723830682,19
288000,-91,1451723830718,9
288000,-72,1451723830764,1
288000,-73,1451723830769,8
288000,-83,1451723830772,22
288000,-84,1451723830775,24
288000,-80,1451723830795,19
288000,-87,1451723830822,20
288000,-72,1451723830858,1
288000,-72,1451723830871,8
288000,-82,1451723830875,22
288000,-88,1451723830879,24
288000,-77,1451723830908,19
288000,-90,1451723830941,20
288000,-91,1451723830951,9
288000,-74,1451723830980,1
288000,-86,1451723830984,24
288000,-73,1451723830987,8
288000,-82,1451723830991,22
288000,-77,1451723831005,19
288000,-91,1451723831036,9
288000,-73,1451723831064,1
288000,-87,1451723831068,24
288000,-73,1451723831072,8
288000,-81,1451723831082,22
288000,-84,1451723831100,19
288000,-91,1451723831135,9
288000,-73,1451723831168,1
288000,-87,1451723831178,24
288000,-83,1451723831202,22
288000,-87,1451723831237,19
288000,-90,1451723831272,9
288000,-82,1451723831279,20
288000,-74,1451723831294,1
288000,-85,1451723831299,24
288000,-82,1451723831316,22
288000,-73,1451723831323,8
288000,-85,1451723831332,19
288000,-92,1451723831355,9
288000,-84,1451723831359,20
288000,-73,1451723831384,1
288000,-82,1451723831402,22
288000,-84,1451723831436,19
288000,-83,1451723831468,20
288000,-73,1451723831494,1
288000,-88,1451723831498,24
288000,-82,1451723831506,22
288000,-76,1451723831526,19
288000,-73,1451723831610,1
288000,-87,1451723831617,24
288000,-81,1451723831621,22
288000,-73,1451723831639,8
288000,-79,1451723831644,19
288000,-87,1451723831679,20
288000,-95,1451723831687,9
288000,-74,1451723831706,1
288000,-81,1451723831713,22
288000,-76,1451723831739,19
288000,-88,1451723831782,20
288000,-73,1451723831806,1
288000,-86,1451723831811,24
288000,-81,1451723831815,22
288000,-73,1451723831819,8
288000,-75,1451723831838,19
288000,-86,1451723831873,20
288000,-73,1451723831921,8
288000,-76,1451723831938,19
288000,-83,1451723832006,20
288000,-73,1451723832010,1
288000,-81,1451723832015,22
288000,-73,1451723832038,8
