objloc,rss,time,beacon
000082,-73,1451978810328,6
000082,-99,1451978810377,11
000082,-81,1451978810382,12
000082,-93,1451978810404,4
000082,-85,1451978810437,13
000082,-81,1451978810442,6
000082,-84,1451978810481,12
000082,-92,1451978810509,4
000082,-97,1451978810536,13
000082,-78,1451978810542,6
000082,-84,1451978810608,12
000082,-94,1451978810628,4
000082,-90,1451978810631,13
000082,-75,1451978810654,6
000082,-82,1451978810693,12
000082,-80,1451978810722,13
000082,-92,1451978810727,4
000082,-78,1451978810754,6
000082,-79,1451978810800,12
000082,-79,1451978810827,13
000082,-91,1451978810831,4
000082,-83,1451978810853,6
000082,-76,1451978810908,12
000082,-82,1451978810946,13
000082,-87,1451978810950,4
000082,-76,1451978810970,6
000082,-82,1451978811013,12
000082,-85,1451978811038,13
000082,-91,1451978811043,4
000082,-77,1451978811057,6
000082,-81,1451978811123,12
000082,-83,1451978811138,13
000082,-89,1451978811155,4
000082,-80,1451978811158,6
000082,-81,1451978811238,12
000082,-79,1451978811245,13
000082,-89,1451978811264,4
000082,-85,1451978811267,6
000082,-79,1451978811336,12
000082,-77,1451978811355,13
000082,-88,1451978811359,6
000082,-77,1451978811437,12
000082,-76,1451978811460,13
000082,-86,1451978811464,6
000082,-95,1451978811494,4
000082,-73,1451978811544,12
000082,-84,1451978811576,13
000082,-94,1451978811581,4
000082,-81,1451978811584,6
000082,-77,1451978811653,12
000082,-84,1451978811677,6
000082,-73,1451978811759,12
000082,-90,1451978811783,13
000082,-96,1451978811787,4
000082,-85,1451978811790,6
000082,-74,1451978811865,12
000082,-90,1451978811899,13
000082,-94,1451978811903,4
000082,-76,1451978811906,6
000082,-75,1451978811967,12
000082,-89,1451978811992,13
000082,-81,1451978811997,6
000082,-90,1451978812010,4
000082,-74,1451978812071,12
000082,-89,1451978812093,13
000082,-83,1451978812110,6
000082,-91,1451978812114,4
000082,-98,1451978812170,11
000082,-89,1451978812199,13
000082,-83,1451978812227,6
000082,-91,1451978812232,4
000082,-87,1451978812307,13
000082,-82,1451978812311,6
000082,-91,1451978812326,4
000082,-74,1451978812378,12
000082,-99,1451978812382,11
000082,-90,1451978812411,13
000082,-81,1451978812416,6
000082,-91,1451978812432,4
000082,-74,1451978812483,12
000082,-91,1451978812520,13
000082,-81,1451978812543,6
000082,-92,1451978812547,4
000082,-74,1451978812594,12
000082,-90,1451978812620,13
000082,-81,1451978812646,6
000082,-91,1451978812651,4
000082,-99,1451978812690,11
000082,-74,1451978812713,12
000082,-90,1451978812731,13
000082,-82,1451978812745,6
000082,-90,1451978812752,4
000082,-74,1451978812807,12
000082,-91,1451978812835,13
000082,-82,1451978812861,6
000082,-90,1451978812865,4
000082,-75,1451978812913,12
000082,-90,1451978812941,13
