objloc,rss,time,beacon
000000,-77,1590519143117,11
000000,-76,1590519143137,3
000000,-89,1590519143164,6
000000,-75,1590519143220,11
000000,-79,1590519143242,3
000000,-72,1590519143273,4
000000,-95,1590519143280,25
000000,-87,1590519143284,6
000000,-95,1590519143287,13
000000,-96,1590519143325,5
000000,-95,1590519143356,12
000000,-76,1590519143364,3
000000,-88,1590519143372,25
000000,-96,1590519143389,13
000000,-77,1590519143441,11
000000,-91,1590519143445,12
000000,-81,1590519143465,3
000000,-68,1590519143470,4
000000,-93,1590519143473,25
000000,-81,1590519143492,6
000000,-94,1590519143496,13
000000,-97,1590519143548,20
000000,-94,1590519143553,5
000000,-76,1590519143556,11
000000,-89,1590519143560,12
000000,-64,1590519143578,4
000000,-91,1590519143582,25
000000,-83,1590519143585,6
000000,-93,1590519143608,13
000000,-96,1590519143629,9
000000,-95,1590519143638,20
000000,-92,1590519143662,5
000000,-72,1590519143666,11
000000,-73,1590519143671,3
000000,-64,1590519143692,4
000000,-95,1590519143696,25
000000,-80,1590519143699,6
000000,-91,1590519143733,9
000000,-90,1590519143758,5
000000,-71,1590519143761,11
000000,-89,1590519143763,12
000000,-76,1590519143775,3
000000,-71,1590519143778,4
000000,-89,1590519143791,25
000000,-77,1590519143794,6
000000,-97,1590519143808,13
000000,-87,1590519143843,5
000000,-72,1590519143859,11
000000,-89,1590519143894,25
000000,-80,1590519143912,6
000000,-89,1590519143970,12
000000,-68,1590519143998,4
000000,-77,1590519144003,3
000000,-87,1590519144006,25
000000,-80,1590519144028,6
000000,-69,1590519144067,11
000000,-95,1590519144104,12
000000,-69,1590519144107,4
000000,-77,1590519144110,3
000000,-88,1590519144114,25
000000,-91,1590519144128,13
000000,-92,1590519144153,5
000000,-68,1590519144179,11
000000,-92,1590519144183,12
000000,-69,1590519144196,4
000000,-77,1590519144216,3
000000,-92,1590519144223,25
000000,-78,1590519144226,6
000000,-90,1590519144279,5
000000,-93,1590519144296,12
000000,-69,1590519144300,4
000000,-77,1590519144317,3
000000,-82,1590519144347,6
000000,-87,1590519144364,5
000000,-68,1590519144381,11
000000,-89,1590519144398,12
000000,-72,1590519144402,4
000000,-81,1590519144416,3
000000,-81,1590519144449,6
000000,-88,1590519144469,5
000000,-69,1590519144499,11
000000,-91,1590519144504,12
000000,-71,1590519144519,4
000000,-80,1590519144524,3
000000,-80,1590519144549,6
000000,-85,1590519144581,5
000000,-68,1590519144599,11
000000,-89,1590519144606,12
000000,-98,1590519144610,20
000000,-68,1590519144629,4
000000,-73,1590519144632,3
000000,-82,1590519144651,6
000000,-96,1590519144655,13
000000,-69,1590519144706,11
000000,-70,1590519144724,4
000000,-73,1590519144729,3
000000,-82,1590519144755,6
000000,-84,1590519144796,5
000000,-69,1590519144822,11
000000,-88,1590519144827,12
000000,-70,1590519144830,4
000000,-78,1590519144833,3
000000,-82,1590519144852,6
000000,-69,1590519144919,11
000000,-83,1590519144925,5
000000,-90,1590519144929,12
000000,-71,1590519144942,4
000000,-78,1590519144949,3
000000,-79,1590519144952,6
000000,-90,1590519144969,13
000000,-74,1590519145006,11
000000,-91,1590519145020,12
000000,-70,1590519145037,4
000000,-92,1590519145043,3
000000,-84,1590519145061,25
000000,-86,1590519145067,6
000000,-90,1590519145088,13
000000,-93,1590519145093,9
000000,-86,1590519145112,5
000000,-74,1590519145116,11
000000,-91,1590519145137,12
000000,-69,1590519145141,4
000000,-91,1590519145145,3
000000,-83,1590519145162,25
000000,-87,1590519145168,6
000000,-90,1590519145189,13
000000,-94,1590519145195,9
000000,-87,1590519145215,5
000000,-74,1590519145241,11
000000,-91,1590519145249,12
000000,-98,1590519145252,20
000000,-69,1590519145255,4
000000,-88,1590519145258,3
000000,-84,1590519145277,25
000000,-86,1590519145281,6
000000,-89,1590519145284,13
000000,-93,1590519145346,3
000000,-84,1590519145373,25
000000,-87,1590519145378,6
000000,-88,1590519145393,13
000000,-95,1590519145402,9
000000,-91,1590519145430,12
000000,-86,1590519145434,5
000000,-68,1590519145459,4
000000,-92,1590519145465,3
000000,-79,1590519145471,25
000000,-88,1590519145490,6
000000,-89,1590519145496,13
000000,-95,1590519145509,9
000000,-74,1590519145542,11
000000,-92,1590519145547,12
000000,-87,1590519145552,5
000000,-69,1590519145569,4
000000,-93,1590519145574,3
000000,-83,1590519145577,25
000000,-86,1590519145594,6
000000,-89,1590519145604,13
000000,-93,1590519145624,9
000000,-74,1590519145645,11
000000,-87,1590519145652,5
000000,-93,1590519145655,12
000000,-69,1590519145658,4
000000,-93,1590519145675,3
000000,-84,1590519145679,25
000000,-87,1590519145694,6
000000,-89,1590519145709,13
000000,-93,1590519145716,9
000000,-70,1590519145746,11
000000,-90,1590519145751,12
000000,-87,1590519145755,5
000000,-69,1590519145779,4
000000,-84,1590519145784,25
000000,-89,1590519145800,6
000000,-88,1590519145806,13
000000,-73,1590519145842,11
000000,-91,1590519145845,12
000000,-70,1590519145867,4
000000,-74,1590519145950,11
000000,-88,1590519145978,5
000000,-70,1590519145987,4
000000,-84,1590519146006,25
000000,-87,1590519146013,6
000000,-93,1590519146030,9
000000,-89,1590519146038,13
000000,-92,1590519146065,12
000000,-75,1590519146072,11
000000,-87,1590519146076,5
000000,-98,1590519146079,20
000000,-69,1590519146099,4
000000,-83,1590519146105,25
000000,-87,1590519146108,6
000000,-94,1590519146138,9
000000,-88,1590519146141,13
000000,-92,1590519146165,12
000000,-74,1590519146170,11
000000,-87,1590519146174,5
000000,-69,1590519146200,4
000000,-84,1590519146205,25
000000,-94,1590519146232,3
000000,-91,1590519146287,12
000000,-88,1590519146292,5
000000,-69,1590519146296,4
000000,-83,1590519146318,25
000000,-87,1590519146323,6
000000,-96,1590519146327,3
000000,-92,1590519146352,9
000000,-87,1590519146386,5
000000,-99,1590519146390,20
000000,-69,1590519146395,4
000000,-88,1590519146422,6
000000,-95,1590519146427,3
000000,-94,1590519146453,9
000000,-74,1590519146486,11
000000,-91,1590519146492,12
000000,-87,1590519146497,5
000000,-69,1590519146519,4
000000,-88,1590519146526,6
000000,-87,1590519146554,13
000000,-92,1590519146559,9
000000,-74,1590519146591,11
000000,-91,1590519146596,12
000000,-88,1590519146600,5
000000,-94,1590519146630,3
000000,-88,1590519146635,13
000000,-74,1590519146690,11
000000,-91,1590519146698,12
000000,-88,1590519146705,5
000000,-69,1590519146724,4
000000,-84,1590519146759,25
000000,-88,1590519146764,13
000000,-92,1590519146770,9
000000,-74,1590519146800,11
000000,-97,1590519146805,20
000000,-88,1590519146830,5
000000,-69,1590519146837,4
000000,-94,1590519146843,3
000000,-88,1590519146860,13
000000,-91,1590519146888,9
000000,-90,1590519146927,12
000000,-87,1590519146931,5
000000,-69,1590519146940,4
000000,-83,1590519146960,25
000000,-88,1590519146967,6
000000,-88,1590519146971,13
000000,-91,1590519146989,9
000000,-90,1590519147024,12
000000,-87,1590519147030,5
000000,-70,1590519147034,4
000000,-92,1590519147057,3
000000,-83,1590519147062,25
000000,-87,1590519147066,6
000000,-88,1590519147070,13
000000,-93,1590519147089,9
000000,-74,1590519147109,11
000000,-90,1590519147113,12
000000,-69,1590519147139,4
000000,-93,1590519147161,3
000000,-87,1590519147166,6
000000,-93,1590519147186,9
000000,-74,1590519147206,11
000000,-87,1590519147212,5
000000,-91,1590519147217,12
000000,-69,1590519147238,4
000000,-83,1590519147258,25
000000,-93,1590519147264,3
000000,-88,1590519147268,6
000000,-89,1590519147272,13
000000,-94,1590519147328,9
000000,-74,1590519147338,11
000000,-91,1590519147342,12
000000,-87,1590519147346,5
000000,-69,1590519147350,4
000000,-94,1590519147376,3
000000,-84,1590519147380,25
000000,-88,1590519147384,13
000000,-87,1590519147388,6
000000,-93,1590519147404,9
000000,-90,1590519147426,12
000000,-86,1590519147432,5
000000,-69,1590519147459,4
000000,-83,1590519147465,25
000000,-93,1590519147470,3
000000,-88,1590519147493,6
000000,-74,1590519147527,11
000000,-91,1590519147532,12
000000,-87,1590519147537,5
000000,-97,1590519147562,20
000000,-69,1590519147568,4
000000,-83,1590519147581,25
000000,-88,1590519147601,6
000000,-92,1590519147630,9
000000,-74,1590519147636,11
000000,-91,1590519147640,12
000000,-95,1590519147644,20
000000,-69,1590519147663,4
000000,-88,1590519147702,13
000000,-87,1590519147707,6
000000,-92,1590519147742,9
000000,-74,1590519147747,11
000000,-87,1590519147752,5
000000,-69,1590519147756,4
000000,-88,1590519147779,13
000000,-83,1590519147785,25
000000,-93,1590519147789,3
000000,-92,1590519147817,9
000000,-70,1590519147847,11
000000,-90,1590519147853,12
000000,-69,1590519147881,4
000000,-93,1590519147919,9
000000,-70,1590519147959,11
000000,-87,1590519147963,5
000000,-91,1590519147967,12
000000,-98,1590519147975,20
000000,-69,1590519147982,4
000000,-89,1590519148002,13
000000,-74,1590519148041,11
000000,-89,1590519148045,5
000000,-89,1590519148066,12
000000,-97,1590519148072,20
000000,-69,1590519148079,4
000000,-88,1590519148108,13
000000,-88,1590519148112,6
000000,-97,1590519148116,3
000000,-83,1590519148124,25
000000,-92,1590519148144,9
000000,-87,1590519148156,5
000000,-70,1590519148175,11
000000,-69,1590519148182,4
000000,-88,1590519148205,13
000000,-88,1590519148210,6
000000,-94,1590519148214,3
000000,-83,1590519148224,25
000000,-93,1590519148250,9
000000,-74,1590519148268,11
000000,-88,1590519148273,5
000000,-95,1590519148277,20
000000,-69,1590519148301,4
000000,-89,1590519148306,13
000000,-94,1590519148312,3
000000,-83,1590519148333,25
000000,-92,1590519148371,9
000000,-70,1590519148379,11
000000,-87,1590519148383,5
000000,-96,1590519148387,20
000000,-69,1590519148405,4
000000,-88,1590519148410,13
000000,-87,1590519148416,6
000000,-83,1590519148434,25
000000,-92,1590519148472,9
000000,-70,1590519148477,11
000000,-88,1590519148485,5
000000,-90,1590519148490,12
000000,-70,1590519148514,4
000000,-87,1590519148518,6
000000,-88,1590519148521,13
000000,-94,1590519148525,3
000000,-84,1590519148544,25
000000,-94,1590519148571,9
000000,-74,1590519148574,11
000000,-95,1590519148576,20
000000,-92,1590519148596,12
000000,-69,1590519148599,4
000000,-88,1590519148616,6
000000,-93,1590519148618,3
000000,-83,1590519148630,25
000000,-93,1590519148657,9
000000,-70,1590519148681,11
000000,-88,1590519148685,5
000000,-90,1590519148687,12
000000,-69,1590519148700,4
000000,-88,1590519148715,6
000000,-89,1590519148718,13
000000,-83,1590519148731,25
000000,-94,1590519148765,9
000000,-74,1590519148781,11
000000,-91,1590519148800,12
000000,-88,1590519148803,5
000000,-87,1590519148824,6
000000,-94,1590519148827,3
000000,-83,1590519148838,25
000000,-94,1590519148869,9
000000,-74,1590519148890,11
000000,-69,1590519148894,4
000000,-91,1590519148902,12
000000,-88,1590519148921,6
000000,-83,1590519148933,25
000000,-94,1590519148968,9
000000,-86,1590519148992,5
000000,-92,1590519149024,12
000000,-88,1590519149060,6
000000,-83,1590519149066,25
000000,-88,1590519149072,13
000000,-91,1590519149108,9
000000,-74,1590519149115,11
000000,-69,1590519149119,4
000000,-87,1590519149124,5
000000,-96,1590519149144,20
000000,-91,1590519149150,12
000000,-93,1590519149154,3
000000,-88,1590519149158,13
000000,-83,1590519149162,25
000000,-74,1590519149196,11
000000,-69,1590519149201,4
000000,-87,1590519149228,5
000000,-94,1590519149234,20
000000,-92,1590519149238,12
000000,-95,1590519149243,3
000000,-88,1590519149259,13
000000,-82,1590519149264,25
000000,-92,1590519149292,9
000000,-69,1590519149329,4
000000,-95,1590519149359,3
000000,-88,1590519149363,6
000000,-83,1590519149367,25
000000,-88,1590519149370,13
000000,-92,1590519149407,9
000000,-74,1590519149410,11
000000,-69,1590519149422,4
000000,-96,1590519149425,20
000000,-87,1590519149430,5
000000,-97,1590519149444,3
000000,-83,1590519149474,25
000000,-89,1590519149477,13
000000,-91,1590519149528,9
000000,-75,1590519149532,11
000000,-69,1590519149535,4
000000,-91,1590519149542,12
000000,-88,1590519149560,6
000000,-96,1590519149565,3
000000,-83,1590519149568,25
000000,-88,1590519149571,13
000000,-92,1590519149606,9
000000,-74,1590519149638,11
000000,-69,1590519149648,4
000000,-92,1590519149655,12
000000,-96,1590519149697,20
000000,-89,1590519149705,6
000000,-84,1590519149708,25
000000,-88,1590519149710,13
000000,-92,1590519149726,9
000000,-70,1590519149734,11
000000,-69,1590519149764,4
000000,-92,1590519149771,12
000000,-95,1590519149774,20
000000,-88,1590519149778,5
000000,-95,1590519149782,3
000000,-83,1590519149786,25
000000,-88,1590519149801,13
000000,-91,1590519149834,9
000000,-70,1590519149838,11
000000,-69,1590519149858,4
000000,-91,1590519149864,12
000000,-87,1590519149870,5
000000,-97,1590519149874,20
000000,-95,1590519149877,3
000000,-88,1590519149881,6
000000,-83,1590519149897,25
000000,-88,1590519149903,13
000000,-74,1590519149974,11
000000,-87,1590519149991,5
000000,-93,1590519149996,3
000000,-78,1590519150002,25
000000,-91,1590519150006,13
000000,-92,1590519150020,9
000000,-87,1590519150063,5
000000,-75,1590519150067,3
000000,-76,1590519150078,6
000000,-78,1590519150081,25
000000,-92,1590519150093,13
000000,-93,1590519150159,9
000000,-70,1590519150166,11
000000,-68,1590519150174,4
000000,-76,1590519150194,3
000000,-88,1590519150199,5
000000,-77,1590519150203,25
000000,-78,1590519150207,6
000000,-92,1590519150211,13
000000,-92,1590519150235,9
000000,-90,1590519150267,12
000000,-70,1590519150272,11
000000,-68,1590519150277,4
000000,-77,1590519150280,3
000000,-76,1590519150301,6
000000,-94,1590519150306,13
000000,-91,1590519150341,9
000000,-69,1590519150372,11
000000,-68,1590519150379,4
000000,-86,1590519150385,5
000000,-77,1590519150404,6
000000,-78,1590519150411,25
000000,-96,1590519150415,13
000000,-90,1590519150465,12
000000,-68,1590519150486,4
000000,-80,1590519150494,3
000000,-77,1590519150522,6
000000,-77,1590519150526,25
000000,-93,1590519150530,13
000000,-68,1590519150594,11
000000,-92,1590519150600,12
000000,-64,1590519150606,4
000000,-83,1590519150609,5
000000,-81,1590519150611,3
000000,-98,1590519150613,20
000000,-78,1590519150615,6
000000,-78,1590519150626,25
000000,-96,1590519150630,13
000000,-90,1590519150655,9
000000,-69,1590519150681,11
000000,-91,1590519150683,12
000000,-68,1590519150685,4
000000,-83,1590519150688,5
000000,-82,1590519150707,3
000000,-77,1590519150717,6
000000,-78,1590519150719,25
000000,-95,1590519150722,13
000000,-89,1590519150760,9
000000,-69,1590519150785,11
000000,-64,1590519150788,4
000000,-79,1590519150792,5
000000,-82,1590519150805,3
000000,-77,1590519150811,6
000000,-78,1590519150836,25
000000,-96,1590519150841,13
000000,-90,1590519150864,9
000000,-90,1590519150887,12
000000,-68,1590519150897,4
000000,-83,1590519150901,5
000000,-81,1590519150907,3
000000,-77,1590519150927,6
000000,-95,1590519150931,13
000000,-78,1590519150935,25
000000,-92,1590519150969,9
000000,-90,1590519150997,12
000000,-64,1590519151006,4
000000,-82,1590519151012,5
000000,-81,1590519151016,3
000000,-73,1590519151032,6
000000,-93,1590519151037,13
000000,-78,1590519151041,25
000000,-92,1590519151072,9
000000,-91,1590519151092,12
000000,-68,1590519151097,11
000000,-67,1590519151124,4
000000,-77,1590519151131,6
000000,-93,1590519151161,13
000000,-78,1590519151167,25
000000,-90,1590519151192,9
000000,-89,1590519151199,12
000000,-68,1590519151235,11
000000,-80,1590519151240,3
000000,-64,1590519151244,4
000000,-82,1590519151253,5
000000,-78,1590519151257,6
000000,-97,1590519151261,13
000000,-78,1590519151278,25
000000,-89,1590519151312,9
000000,-90,1590519151318,12
000000,-68,1590519151324,11
000000,-81,1590519151328,3
000000,-67,1590519151334,4
000000,-84,1590519151353,5
000000,-77,1590519151359,6
000000,-91,1590519151365,13
000000,-78,1590519151369,25
000000,-93,1590519151392,9
000000,-92,1590519151399,12
000000,-77,1590519151432,3
000000,-67,1590519151438,4
000000,-84,1590519151446,5
000000,-77,1590519151451,6
000000,-93,1590519151471,13
000000,-77,1590519151477,25
