objloc,rss,time,beacon
000094,-95,1451669837190,12
000094,-95,1451669837206,4
000094,-80,1451669837222,6
000094,-88,1451669837227,13
000094,-89,1451669837300,12
000094,-93,1451669837322,4
000094,-84,1451669837344,13
000094,-92,1451669837401,12
000094,-91,1451669837421,4
000094,-76,1451669837425,6
000094,-87,1451669837441,13
000094,-92,1451669837509,4
000094,-83,1451669837541,6
000094,-89,1451669837547,13
000094,-89,1451669837601,12
000094,-95,1451669837622,4
000094,-82,1451669837641,6
000094,-94,1451669837646,13
000094,-76,1451669837708,12
000094,-90,1451669837738,4
000094,-79,1451669837741,6
000094,-88,1451669837756,13
000094,-80,1451669837810,12
000094,-96,1451669837837,4
000094,-78,1451669837841,6
000094,-86,1451669837856,13
000094,-78,1451669837915,12
000094,-81,1451669837945,6
000094,-83,1451669837974,13
000094,-79,1451669838021,12
000094,-93,1451669838039,4
000094,-78,1451669838053,6
000094,-81,1451669838070,13
000094,-77,1451669838123,12
000094,-82,1451669838148,6
000094,-89,1451669838169,13
000094,-78,1451669838229,12
000094,-95,1451669838253,4
000094,-94,1451669838270,13
000094,-87,1451669838338,12
000094,-97,1451669838352,4
000094,-90,1451669838373,13
000094,-81,1451669838443,12
000094,-97,1451669838469,4
000094,-76,1451669838550,12
000094,-92,1451669838569,4
000094,-81,1451669838575,6
000094,-87,1451669838589,13
000094,-78,1451669838658,12
000094,-82,1451669838684,6
000094,-92,1451669838687,4
000094,-80,1451669838763,12
000094,-93,1451669838783,4
000094,-96,1451669838806,13
000094,-96,1451669838878,4
000094,-83,1451669838881,6
000094,-93,1451669838904,13
000094,-81,1451669838975,12
000094,-95,1451669839001,4
000094,-82,1451669839005,6
000094,-91,1451669839018,13
000094,-79,1451669839078,12
000094,-84,1451669839101,6
000094,-90,1451669839120,13
000094,-78,1451669839183,12
000094,-83,1451669839204,6
000094,-95,1451669839208,4
000094,-96,1451669839218,13
000094,-77,1451669839298,12
000094,-83,1451669839301,6
000094,-84,1451669839396,6
000094,-78,1451669839399,12
000094,-83,1451669839502,6
000094,-78,1451669839505,12
000094,-91,1451669839519,4
000094,-92,1451669839614,4
000094,-82,1451669839711,6
000094,-78,1451669839714,12
000094,-93,1451669839733,4
000094,-94,1451669839736,13
000094,-82,1451669839813,6
000094,-77,1451669839835,12
000094,-94,1451669839839,4
000094,-93,1451669839843,13
000094,-79,1451669839933,6
000094,-78,1451669839936,12
000094,-99,1451669839940,4
000094,-91,1451669839964,13
000094,-86,1451669840022,6
000094,-78,1451669840025,12
000094,-93,1451669840049,4
000094,-82,1451669840053,13
000094,-73,1451669840127,12
000094,-92,1451669840149,6
000094,-93,1451669840157,4
000094,-87,1451669840175,13
000094,-98,1451669840180,11
000094,-71,1451669840237,12
000094,-94,1451669840271,4
000094,-87,1451669840276,13
000094,-99,1451669840281,11
000094,-91,1451669840340,6
000094,-72,1451669840360,12
000094,-92,1451669840367,4
000094,-87,1451669840395,13
000094,-97,1451669840405,11
000094,-93,1451669840449,6
000094,-87,1451669840467,13
000094,-94,1451669840548,6
000094,-73,1451669840561,12
000094,-92,1451669840563,4
000094,-87,1451669840578,13
000094,-94,1451669840656,6
000094,-73,1451669840661,12
000094,-93,1451669840698,4
000094,-95,1451669840707,11
000094,-73,1451669840769,12
000094,-92,1451669840777,6
000094,-91,1451669840781,4
000094,-88,1451669840784,13
000094,-96,1451669840804,11
000094,-73,1451669840870,12
000094,-94,1451669840880,6
000094,-93,1451669840885,4
000094,-87,1451669840914,13
000094,-97,1451669840923,11
000094,-72,1451669840966,12
000094,-94,1451669841001,6
000094,-87,1451669841006,13
000094,-72,1451669841087,12
000094,-94,1451669841092,6
000094,-91,1451669841096,4
000094,-86,1451669841099,13
000094,-97,1451669841120,11
000094,-73,1451669841191,12
000094,-94,1451669841199,6
000094,-96,1451669841230,11
000094,-94,1451669841284,6
000094,-72,1451669841289,12
000094,-87,1451669841318,13
000094,-91,1451669841323,4
000094,-96,1451669841327,11
000094,-93,1451669841393,6
000094,-72,1451669841397,12
000094,-84,1451669841419,13
000094,-91,1451669841424,4
000094,-96,1451669841428,11
000094,-95,1451669841493,6
000094,-73,1451669841498,12
000094,-82,1451669841519,13
000094,-94,1451669841593,6
000094,-74,1451669841616,12
